note,filter,night,season,fiveSigmaDepth,airmass,observationStartMJD,numExposures,visitExposureTime,seeingFwhmEff,seeingFwhmGeom
DD:XMM_LSS,i,472,2,23.485767706313936,1.2109440350995653,60690.04454319104,2.0,30.0,0.7877700021748527,0.6995469417877289
DD:XMM_LSS,i,473,2,23.116460477956295,1.3615404543134528,60691.07537219159,2.0,30.0,1.1479271956062944,0.995596154788374
DD:XMM_LSS,i,481,2,23.430806602627936,1.304345361770093,60699.04183861771,2.0,30.0,0.9683277017866126,0.8479653708685956
DD:XMM_LSS,i,487,2,23.215510904171705,1.547729890753033,60705.06155769879,2.0,30.0,1.2124021206046547,1.048594543137026
DD:XMM_LSS,i,504,2,22.88685675090924,1.8720940653186422,60722.0421747926,2.0,30.0,1.4495251181162696,1.2435096470915736
DD:XMM_LSS,i,507,2,22.699534653543488,1.7335545826085537,60725.02626466676,2.0,30.0,1.6490790106056594,1.407542946717852
DD:XMM_LSS,i,655,3,23.13869694217904,1.1466504291449064,60873.43313723012,2.0,30.0,1.0490077218972533,0.9142843473995422
DD:XMM_LSS,i,662,3,23.364207047995187,1.1332767768241516,60880.42601529388,2.0,30.0,1.1964661417776732,1.0354951685412472
DD:XMM_LSS,i,671,3,22.361960181520637,1.737235923044409,60889.28583663482,2.0,30.0,2.516404159893995,2.120484219432864
DD:XMM_LSS,i,684,3,23.101489082231414,1.1035950005410595,60902.39649622921,2.0,30.0,1.1679146491859163,1.0120258416308232
DD:XMM_LSS,i,685,3,23.285083404658508,1.1158251126458505,60903.40558965662,2.0,30.0,1.1130282900585204,0.9669092544281037
DD:XMM_LSS,i,692,3,23.747578499856015,1.1146651397489649,60910.38427060329,2.0,30.0,0.8770054208999922,0.7728984559797936
DD:XMM_LSS,i,700,3,23.211578488640868,1.7772977720480188,60918.2069422669,2.0,30.0,1.0813192865253858,0.9408444535238671
DD:XMM_LSS,i,706,3,23.440669518850193,1.2413432288098418,60924.413783830314,2.0,30.0,0.6666591685911186,0.5999938365818995
DD:XMM_LSS,i,707,3,21.896989420394423,2.2498585260724657,60925.16014847776,2.0,30.0,1.6847314899002495,1.436849284698005
DD:XMM_LSS,i,714,3,23.585536021389807,1.2308141222485722,60932.23910063563,2.0,30.0,0.9230839555051327,0.810775011425219
DD:XMM_LSS,i,721,3,23.800529389943755,1.1106744896220455,60939.30085967415,2.0,30.0,0.8390674806675767,0.7417134691087481
DD:XMM_LSS,i,729,3,23.67349551700613,1.5405596075185488,60947.147662305026,2.0,30.0,0.7666467380667639,0.6821836186908798
DD:XMM_LSS,i,735,3,22.80584859896186,1.6156107397116304,60953.389314148444,2.0,30.0,1.0758199354449363,0.9363239869357376
DD:XMM_LSS,i,736,3,22.434082451844226,1.9381219267540177,60954.09801834323,2.0,30.0,1.0615440741220072,0.92458922892829
DD:XMM_LSS,i,743,3,23.90356646731194,1.10913440615978,60961.22834267296,2.0,30.0,0.7530790854644778,0.6710310082518007
DD:XMM_LSS,i,750,3,23.962333151473608,1.116335959320021,60968.22804556812,2.0,30.0,0.7154360180257437,0.6400884068171613
DD:XMM_LSS,i,757,3,23.32347052179417,1.1078715151911194,60975.20736134204,2.0,30.0,1.288871602363859,1.1114524571430922
