name,year,fieldType,cad,sl,level_5,u,g,r,i,z,y
DDF_DESC_0.75_WZ,1,UD,3,180,0,19,3,3,3,3,4
DDF_DESC_0.75_WZ,2,DD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.75_WZ,2,UD,2,180,0,11,4,18,81,76,26
DDF_DESC_0.75_WZ,3,DD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.75_WZ,3,UD,2,180,0,11,4,18,81,76,26
DDF_DESC_0.75_WZ,4,DD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.75_WZ,4,UD,2,180,0,11,4,18,81,76,26
DDF_DESC_0.75_WZ,5,DD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.75_WZ,5,UD,2,180,0,11,4,18,81,76,26
DDF_DESC_0.75_WZ,6,DD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.75_WZ,6,UD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.75_WZ,7,DD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.75_WZ,7,UD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.75_WZ,8,DD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.75_WZ,8,UD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.75_WZ,9,DD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.75_WZ,9,UD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.75_WZ,10,DD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.75_WZ,10,UD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.75_co,1,DD,3,180,0,19,3,3,3,3,4
DDF_DESC_0.75_co,1,UD,3,180,0,19,3,3,3,3,4
DDF_DESC_0.75_co,2,DD,3,180,0,15,2,3,4,4,7
DDF_DESC_0.75_co,2,UD,2,180,0,10,4,18,84,76,28
DDF_DESC_0.75_co,3,DD,3,180,0,15,2,3,4,4,7
DDF_DESC_0.75_co,3,UD,2,180,0,10,4,18,84,76,28
DDF_DESC_0.75_co,4,DD,3,180,0,15,2,3,4,4,7
DDF_DESC_0.75_co,4,UD,2,180,0,10,4,18,84,76,28
DDF_DESC_0.75_co,5,DD,3,180,0,15,2,3,4,4,7
DDF_DESC_0.75_co,5,UD,2,180,0,10,4,18,84,76,28
DDF_DESC_0.75_co,6,DD,3,180,0,15,2,3,4,4,7
DDF_DESC_0.75_co,6,UD,3,180,0,15,2,3,4,4,7
DDF_DESC_0.75_co,7,DD,3,180,0,15,2,3,4,4,7
DDF_DESC_0.75_co,7,UD,3,180,0,15,2,3,4,4,7
DDF_DESC_0.75_co,8,DD,3,180,0,15,2,3,4,4,7
DDF_DESC_0.75_co,8,UD,3,180,0,15,2,3,4,4,7
DDF_DESC_0.75_co,9,DD,3,180,0,15,2,3,4,4,7
DDF_DESC_0.75_co,9,UD,3,180,0,15,2,3,4,4,7
DDF_DESC_0.75_co,10,DD,3,180,0,15,2,3,4,4,7
DDF_DESC_0.75_co,10,UD,3,180,0,15,2,3,4,4,7
DDF_DESC_0.80_SN,1,DD,3,180,0,19,3,3,3,3,4
DDF_DESC_0.80_SN,1,UD,3,180,0,19,3,3,3,3,4
DDF_DESC_0.80_SN,2,DD,3,180,0,12,2,3,3,3,6
DDF_DESC_0.80_SN,2,UD,2,180,0,8,4,18,124,112,40
DDF_DESC_0.80_SN,3,DD,3,180,0,12,2,3,3,3,6
DDF_DESC_0.80_SN,3,UD,2,180,0,8,4,18,124,112,40
DDF_DESC_0.80_SN,4,DD,3,180,0,12,2,3,3,3,6
DDF_DESC_0.80_SN,4,UD,2,180,0,8,4,18,124,112,40
DDF_DESC_0.80_SN,5,DD,3,180,0,12,2,3,3,3,6
DDF_DESC_0.80_SN,5,UD,3,180,0,12,2,3,3,3,6
DDF_DESC_0.80_SN,6,DD,3,180,0,12,2,3,3,3,6
DDF_DESC_0.80_SN,6,UD,3,180,0,12,2,3,3,3,6
DDF_DESC_0.80_SN,7,DD,3,180,0,12,2,3,3,3,6
DDF_DESC_0.80_SN,7,UD,3,180,0,12,2,3,3,3,6
DDF_DESC_0.80_SN,8,DD,3,180,0,12,2,3,3,3,6
DDF_DESC_0.80_SN,8,UD,3,180,0,12,2,3,3,3,6
DDF_DESC_0.80_SN,9,DD,3,180,0,12,2,3,3,3,6
DDF_DESC_0.80_SN,9,UD,3,180,0,12,2,3,3,3,6
DDF_DESC_0.80_SN,10,DD,3,180,0,12,2,3,3,3,6
DDF_DESC_0.80_SN,10,UD,3,180,0,12,2,3,3,3,6
DDF_DESC_0.80_WZ,1,DD,3,180,0,19,3,3,3,3,4
DDF_DESC_0.80_WZ,1,UD,3,180,0,19,3,3,3,3,4
DDF_DESC_0.80_WZ,2,DD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.80_WZ,2,UD,2,180,0,11,4,18,111,98,36
DDF_DESC_0.80_WZ,3,DD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.80_WZ,3,UD,2,180,0,11,4,18,111,98,36
DDF_DESC_0.80_WZ,4,DD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.80_WZ,4,UD,2,180,0,11,4,18,111,98,36
DDF_DESC_0.80_WZ,5,DD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.80_WZ,5,UD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.80_WZ,6,DD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.80_WZ,6,UD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.80_WZ,7,DD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.80_WZ,7,UD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.80_WZ,8,DD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.80_WZ,8,UD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.80_WZ,9,DD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.80_WZ,9,UD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.80_WZ,10,DD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.80_WZ,10,UD,3,180,0,16,2,4,5,5,8
DDF_DESC_0.80_co,1,DD,3,180,0,19,3,3,3,3,4
DDF_DESC_0.80_co,1,UD,3,180,0,19,3,3,3,3,4
DDF_DESC_0.80_co,2,DD,3,180,0,14,2,3,4,4,7
DDF_DESC_0.80_co,2,UD,2,180,0,9,4,18,117,106,37
DDF_DESC_0.80_co,3,DD,3,180,0,14,2,3,4,4,7
DDF_DESC_0.80_co,3,UD,2,180,0,9,4,18,117,106,37
DDF_DESC_0.80_co,4,DD,3,180,0,14,2,3,4,4,7
DDF_DESC_0.80_co,4,UD,2,180,0,9,4,18,117,106,37
DDF_DESC_0.80_co,5,DD,3,180,0,14,2,3,4,4,7
DDF_DESC_0.80_co,5,UD,3,180,0,14,2,3,4,4,7
DDF_DESC_0.80_co,6,DD,3,180,0,14,2,3,4,4,7
DDF_DESC_0.80_co,6,UD,3,180,0,14,2,3,4,4,7
DDF_DESC_0.80_co,7,DD,3,180,0,14,2,3,4,4,7
DDF_DESC_0.80_co,7,UD,3,180,0,14,2,3,4,4,7
DDF_DESC_0.80_co,8,DD,3,180,0,14,2,3,4,4,7
DDF_DESC_0.80_co,8,UD,3,180,0,14,2,3,4,4,7
DDF_DESC_0.80_co,9,DD,3,180,0,14,2,3,4,4,7
DDF_DESC_0.80_co,9,UD,3,180,0,14,2,3,4,4,7
DDF_DESC_0.80_co,10,DD,3,180,0,14,2,3,4,4,7
DDF_DESC_0.80_co,10,UD,3,180,0,14,2,3,4,4,7
DDF_SCOC_pII,1,DD,3,180,0,19,3,3,3,3,4
DDF_SCOC_pII,1,UD,3,180,0,19,3,3,3,3,4
DDF_SCOC_pII,2,DD,3,180,0,41,6,9,12,12,20
DDF_SCOC_pII,2,UD,3,180,0,28,4,18,58,55,10
DDF_SCOC_pII,3,DD,3,180,0,41,6,9,12,12,20
DDF_SCOC_pII,3,UD,3,180,0,28,4,18,58,55,10
DDF_SCOC_pII,4,DD,3,180,0,41,6,9,12,12,20
DDF_SCOC_pII,4,UD,3,180,0,28,4,18,58,55,10
DDF_SCOC_pII,5,DD,3,180,0,41,6,9,12,12,20
DDF_SCOC_pII,5,UD,3,180,0,41,6,9,12,12,20
DDF_SCOC_pII,6,DD,3,180,0,41,6,9,12,12,20
DDF_SCOC_pII,6,UD,3,180,0,41,6,9,12,12,20
DDF_SCOC_pII,7,DD,3,180,0,41,6,9,12,12,20
DDF_SCOC_pII,7,UD,3,180,0,41,6,9,12,12,20
DDF_SCOC_pII,8,DD,3,180,0,41,6,9,12,12,20
DDF_SCOC_pII,8,UD,3,180,0,41,6,9,12,12,20
DDF_SCOC_pII,9,DD,3,180,0,41,6,9,12,12,20
DDF_SCOC_pII,9,UD,3,180,0,41,6,9,12,12,20
DDF_SCOC_pII,10,DD,3,180,0,41,6,9,12,12,20
DDF_SCOC_pII,10,UD,3,180,0,41,6,9,12,12,20
DDF_Univ_SN,1,DD,3,180,0,19,3,3,3,3,4
DDF_Univ_SN,2,DD,3,180,0,-73,4,18,24,26,3
DDF_Univ_SN,3,DD,3,180,0,-73,4,18,24,26,3
DDF_Univ_SN,4,DD,3,180,0,-73,4,18,24,26,3
DDF_Univ_SN,5,DD,3,180,0,-73,4,18,24,26,3
DDF_Univ_SN,6,DD,3,180,0,-73,4,18,24,26,3
DDF_Univ_SN,7,DD,3,180,0,-73,4,18,24,26,3
DDF_Univ_SN,8,DD,3,180,0,-73,4,18,24,26,3
DDF_Univ_SN,9,DD,3,180,0,-73,4,18,24,26,3
DDF_Univ_SN,10,DD,3,180,0,-73,4,18,24,26,3
DDF_Univ_WZ,1,DD,3,180,0,19,3,3,3,3,4
DDF_Univ_WZ,1,UD,3,180,0,19,3,3,3,3,4
DDF_Univ_WZ,2,DD,3,180,0,48,7,10,14,14,23
DDF_Univ_WZ,2,UD,3,180,0,48,7,10,14,14,23
DDF_Univ_WZ,3,DD,3,180,0,48,7,10,14,14,23
DDF_Univ_WZ,3,UD,3,180,0,48,7,10,14,14,23
DDF_Univ_WZ,4,DD,3,180,0,48,7,10,14,14,23
DDF_Univ_WZ,4,UD,3,180,0,48,7,10,14,14,23
DDF_Univ_WZ,5,DD,3,180,0,48,7,10,14,14,23
DDF_Univ_WZ,5,UD,3,180,0,48,7,10,14,14,23
DDF_Univ_WZ,6,DD,3,180,0,48,7,10,14,14,23
DDF_Univ_WZ,6,UD,3,180,0,48,7,10,14,14,23
DDF_Univ_WZ,7,DD,3,180,0,48,7,10,14,14,23
DDF_Univ_WZ,7,UD,3,180,0,48,7,10,14,14,23
DDF_Univ_WZ,8,DD,3,180,0,48,7,10,14,14,23
DDF_Univ_WZ,8,UD,3,180,0,48,7,10,14,14,23
DDF_Univ_WZ,9,DD,3,180,0,48,7,10,14,14,23
DDF_Univ_WZ,9,UD,3,180,0,48,7,10,14,14,23
DDF_Univ_WZ,10,DD,3,180,0,48,7,10,14,14,23
DDF_Univ_WZ,10,UD,3,180,0,48,7,10,14,14,23
